 2 - 40;  10 - 32;  1 - 49;  3 - 39;  0 - 48;  11 - 35;  2 - 43;  10 - 32;  32 - 19;  1 - 41;  1 - 46;  23 - 24;  2 - 47;  10 - 37;  3 - 48;  14 - 28;  13 - 29;  0 - 42;  11 - 34;  12 - 30;  3 - 41;  10 - 32;  3 - 45;  20 - 29;  3 - 41;  1 - 41;  1 - 43;  11 - 37;  11 - 31;  12 - 37; 
 2 - 40;  0 - 42;  2 - 43;  1 - 41;  0 - 51;  0 - 47;  5 - 41;  2 - 40;  10 - 38;  2 - 40;  2 - 41;  1 - 41;  0 - 50;  10 - 41;  1 - 45;  2 - 42;  11 - 37;  14 - 37;  3 - 40;  0 - 48;  13 - 37;  1 - 42;  1 - 43;  10 - 39;  6 - 45;  10 - 35;  11 - 40;  14 - 34;  21 - 21;  2 - 45; 
 12 - 33;  2 - 40;  4 - 41;  1 - 50;  1 - 46;  7 - 44;  4 - 42;  11 - 39;  1 - 49;  1 - 41;  11 - 31;  0 - 51;  11 - 31;  11 - 39;  12 - 30;  0 - 42;  15 - 31;  27 - 21;  11 - 33;  13 - 38;  1 - 45;  1 - 42;  11 - 31;  3 - 40;  1 - 45;  1 - 42;  13 - 29;  1 - 41;  11 - 39;  10 - 32; 
 1 - 49;  1 - 41;  21 - 28;  12 - 30;  2 - 42;  6 - 40;  12 - 37;  10 - 34;  1 - 49;  13 - 35;  13 - 34;  12 - 33;  3 - 39;  2 - 40;  1 - 41;  2 - 49;  0 - 45;  7 - 35;  1 - 41;  1 - 41;  12 - 30;  10 - 33;  6 - 36;  11 - 31;  2 - 42;  1 - 50;  4 - 38;  0 - 47;  1 - 43;  1 - 42; 
 10 - 37;  2 - 46;  1 - 41;  13 - 32;  20 - 31;  1 - 48;  1 - 42;  2 - 40;  1 - 46;  4 - 47;  11 - 35;  3 - 48;  0 - 42;  13 - 30;  11 - 40;  2 - 40;  2 - 40;  2 - 42;  0 - 42;  11 - 31;  10 - 37;  13 - 29;  0 - 50;  2 - 43;  0 - 42;  1 - 48;  23 - 22;  1 - 47;  2 - 41;  2 - 40; 
 6 - 38;  0 - 49;  2 - 40;  13 - 29;  1 - 49;  0 - 42;  13 - 30;  1 - 45;  1 - 50;  13 - 32;  1 - 46;  13 - 34;  21 - 21;  12 - 30;  2 - 40;  22 - 26;  11 - 39;  15 - 34;  1 - 46;  12 - 30;  13 - 30;  12 - 30;  4 - 38;  22 - 27;  4 - 38;  2 - 40;  4 - 38;  12 - 31;  2 - 47;  20 - 30; 
 1 - 41;  1 - 41;  2 - 43;  11 - 34;  1 - 50;  0 - 48;  4 - 38;  12 - 30;  21 - 21;  3 - 44;  6 - 43;  2 - 40;  24 - 18;  13 - 29;  14 - 28;  6 - 44;  3 - 46;  13 - 31;  5 - 37;  4 - 38;  1 - 42;  2 - 40;  2 - 48;  11 - 36;  1 - 41;  1 - 48;  2 - 40;  3 - 46;  1 - 41;  12 - 30; 
 22 - 25;  0 - 49;  0 - 47;  3 - 39;  4 - 38;  11 - 40;  11 - 35;  1 - 46;  2 - 40;  1 - 41;  0 - 43;  13 - 38;  12 - 39;  0 - 42;  2 - 45;  10 - 36;  3 - 44;  1 - 47;  3 - 43;  3 - 43;  2 - 48;  0 - 43;  12 - 32;  1 - 41;  11 - 31;  0 - 42;  0 - 43;  3 - 39;  21 - 22;  11 - 31; 
 2 - 40;  12 - 30;  3 - 44;  2 - 49;  2 - 43;  1 - 41;  13 - 38;  1 - 45;  1 - 50;  3 - 44;  1 - 48;  12 - 33;  12 - 36;  0 - 43;  1 - 45;  3 - 39;  0 - 42;  11 - 32;  13 - 38;  4 - 44;  10 - 40;  12 - 33;  10 - 35;  2 - 40;  13 - 31;  2 - 40;  11 - 31;  4 - 41;  14 - 37;  4 - 38; 
 1 - 50;  2 - 44;  11 - 35;  12 - 30;  6 - 43;  1 - 41;  4 - 38;  12 - 37;  1 - 43;  1 - 49;  0 - 46;  3 - 39;  4 - 39;  1 - 41;  11 - 31;  1 - 41;  20 - 31;  16 - 35;  2 - 45;  3 - 39;  1 - 41;  12 - 30;  2 - 43;  0 - 42;  1 - 44;  3 - 44;  1 - 41;  12 - 36;  0 - 42;  6 - 39; 
